content,valence,arousal,dominance
saw,4.16,4.18,4.67
officer,4.91,4.38,4.41
driver,6.39,3.15,5.56
dead,2.02,3.91,2.66
respect,6.79,4.79,7.26
unknown,4.85,4.71,3.79
restaurant,6.95,4.19,5.82
trip,7,5.33,6.11
poor,3.67,4.67,4
teacher,7.37,2.9,5.95
eyes,6.57,3.18,5.94
relationship,7.83,5,5.83
farm,6.22,3.05,6.08
peace,7.75,4.65,7.17
traditional,5.95,3.76,5.43
campus,6.44,4.17,5.21
creative,7.06,4.86,6.78
coast,5.9,4.17,5.78
benefit,6.87,3.53,6.25
progress,6.58,3.82,6.55
funding,5.45,3.95,4.73
lord,5.59,3.81,5.75
sub,5,3.35,5.45
agree,7.17,3.62,6.94
fiction,6.47,4.7,6.45
hear,6.68,3.62,6.71
museum,6.67,3.74,5.4
fan,6.81,3.7,6.05
transport,5.9,3.76,5.79
interesting,6.78,5.1,6.83
wife,6.7,4.21,5.5
evaluation,4.86,5.89,4.62
ten,5.16,3.1,4.8
zone,4.75,3.78,5.23
complex,4.21,4.6,5.25
cat,6.95,4.5,5.48
die,1.67,6.9,3.28
flat,4.43,3.04,4
flow,5.68,3.71,5.4
literature,6.43,3.7,6.06
respective,5.9,3.76,6.42
parent,6.73,4.14,5
scale,5.06,3.8,5.17
stand,5.27,3.1,5.89
economy,3.64,5.32,4.16
helpful,7.43,3.88,6.79
monthly,5.32,3.5,4.67
critical,3.95,4.95,4.22
frame,5.32,4.04,5.78
musical,7.68,5.63,5.43
definition,5.63,3.14,5.68
secretary,5.18,3.8,6.68
networking,5.6,3.71,6.31
path,5.71,3.74,4.62
employee,5.29,4.65,4.81
chief,5.83,3.25,4.89
bottom,3.61,3.19,3.44
detail,5.67,3.81,7.14
pet,7.05,3.76,5.61
begin,6.44,2.85,5.72
royal,5.25,4.23,6.32
clean,7.09,3.57,6.11
switch,5.29,3.9,6
african,6.42,4.11,5.8
guy,6.55,4.71,5.12
relevant,5.84,2.95,5.74
justice,6.8,5.4,6.31
connect,6.61,3.47,5.96
bible,5.74,3.65,5
cup,5.94,2.6,5.28
basket,5.66,2.48,5.3
weekly,5.43,2.86,6.04
installation,5.06,3.42,5.75
demand,4.1,5.85,5.14
suite,7.05,3.61,6.16
square,5.11,3.33,5.3
attention,6.68,4.05,6.47
advance,6.11,4.62,6.12
skip,4.76,4.25,5.35
diet,4.42,3.83,5.29
army,4.65,4.49,4.65
auction,5.43,4.5,5.33
gear,5.19,3.17,5.9
difference,4.89,3.15,5.44
correct,6.94,3.48,7.06
nation,6,4.78,4.74
piece,5.23,3.57,5.11
sheet,5.57,2.64,5
firm,5.36,4.3,6.58
seven,4.9,3.8,5.64
species,5.26,3.73,4.31
jump,6.44,5.14,5.72
module,4.9,4.33,5.41
resort,7.76,4.16,6.09
facility,5.33,4,5.03
random,5.37,4.15,4.71
certificate,6,3.61,5.47
minister,5,3.85,5.65
motion,5.8,4.71,6.15
fashion,5.26,5.25,5.6
documentation,4.84,3.38,6.12
monitor,5.05,3.86,5.81
forest,6.68,4.44,5.71
coverage,5.77,3.19,5.96
couple,7.11,4.95,5.61
chance,6.05,4.3,5.25
vision,6.79,3.18,6.27
ball,6.14,3.48,5.47
ending,4.23,4.19,4.59
listen,6.91,3.76,5.56
discuss,5.89,2.76,6.44
accept,6.39,2.8,5.94
automotive,5.37,4.5,5.38
naked,6.21,5.58,5.6
goal,6.79,4.67,6.57
successful,7.76,5.08,7.71
wind,5.67,3.7,4.5
clinical,4.82,4.1,4.7
situation,5.33,4.05,4.33
publishing,5.14,2.96,5.42
appear,5.25,3.24,5.36
emergency,2.72,6.43,2.72
currency,5.9,4.05,5.3
leather,5.84,3.57,5.32
determine,6,4.68,7.09
temperature,5.58,4.86,4.64
palm,6.05,2.67,5.83
patient,6.71,2.77,4.83
actual,6.22,2.75,5.54
historical,6.57,2.59,5.07
stone,4.81,3.25,7.26
commerce,5.21,3.95,4.85
difficult,3.78,4.45,3.78
scientific,5.95,4.22,6.12
satellite,5.56,5.17,4.53
fit,6.28,4.35,6.11
village,5.95,3.4,5.6
amateur,4.58,3.55,5.25
ex,2.7,4.79,4
pain,2,6.27,3.47
coffee,7,5.1,6.12
buyer,5.9,3.95,5.76
cultural,6.9,4.55,5.41
oral,4.95,4.33,4.56
ford,5.79,2.85,6
poster,5.35,3.14,5.95
edge,4.43,4.65,4.31
functional,5.58,3.85,5.26
root,5.33,3.62,6.05
ice,6.06,3.3,4.89
pink,6.68,4.35,6.74
balance,6.84,4.13,5.47
graduate,7.26,4.52,7.18
shot,2.82,6.48,3.39
architecture,6.05,4.39,5.67
initial,5.38,4.09,5.27
label,4.79,3.38,5.48
sec,4.74,2.95,4.52
recommend,6.52,3.71,6.3
canon,4.9,5.86,4.8
league,5.35,4.25,6.28
waste,2.61,4.04,4.58
minute,5.5,3.76,4.17
bus,5.12,3.83,4.88
provider,6.26,3.73,6.32
optional,5.76,2.59,7.11
dictionary,6.05,2.91,5.88
cold,4.32,3.55,5.17
accounting,4.42,3.68,4.48
manufacturing,5,4.5,5.67
chair,5.89,2.86,5.28
fishing,7.05,3.6,6.33
effort,6.47,4.12,6.64
phase,5.29,3.96,4.93
bag,5.05,3.43,5.62
fantasy,7.15,6.18,6.35
motor,5.64,5.42,5.5
professor,5.72,3.85,4.44
context,5,3.18,5.6
install,5.95,3.72,6.68
shirt,5.56,2.3,5.67
apparel,5.38,4.3,6.19
foot,4.68,2.77,5.97
mass,5.15,3.56,5.47
crime,1.95,5.68,3.31
count,5.89,2.3,5.17
breast,6.64,5.39,5
religion,5.42,5,4.42
claim,5.15,3.9,6.06
permission,5.14,4,5.84
surgery,3.18,5.55,3.2
patch,5.11,2.84,4.4
heat,4.77,5.75,5.89
wild,5.94,5.9,5.72
generation,6.08,4.24,5.23
miss,4.1,3.9,5.12
chemical,4.89,3.41,3.78
doctor,5.93,4.05,4.69
task,6.05,3.83,6.18
reduce,5.1,3.67,4.92
component,5.62,4.27,5.74
enable,5.13,3.95,5.45
exercise,6.33,5.41,6.9
bug,3.45,6.06,4.08
mid,5.21,2.8,5.33
guarantee,6.17,3.67,6
leader,6.24,4.96,6.3
diamond,6.88,5.82,5.64
soft,7.13,3.04,6.1
alone,3.85,4,4.5
keyword,5.6,3.67,5.73
flight,6.11,4.2,5.33
congress,3.55,3.61,3.48
fuel,4.1,3.96,6.21
walk,6.77,3.24,5.83
paperback,6.5,4.84,5.48
wait,4.55,3.62,5.31
pocket,5.67,4.5,6.37
saint,6.4,3.48,5.82
rose,7.11,2.8,6.22
freedom,7.72,5.67,7.37
argument,2.62,5.22,5.65
competition,5.33,5.75,5.14
drugs,3.86,5.78,4.32
joint,5.32,4.5,6.16
premium,6.9,5.5,5.86
fresh,6.67,2.35,6.28
attorney,3.67,4.8,5.53
upgrade,7.11,4.14,6.7
factor,4.9,3.6,4.68
stream,6.9,4.35,5.09
apartments,5,3.28,5.18
pick,5.91,3.62,5.94
eastern,5.37,3.48,4.48
therapy,5.1,3.74,4.73
upper,5.7,3.52,6.33
administrative,4.79,3.21,5.9
serious,5.88,4.05,5.67
prime,6,4.71,6.33
limit,4.53,4.29,4.37
steps,4.95,3,6.17
creek,6.32,2.67,5
quantity,5.33,3.84,5.86
urban,4.95,4.41,4.5
essential,6.26,4.3,6.3
platform,5,4.18,6.42
load,4.43,4.55,6.68
labor,4.74,5.23,5.41
admin,4.37,3.64,5.83
nursing,6.39,3.57,5.05
defense,5.36,5.11,5.53
designated,5.1,3.85,5.14
heavy,4.78,3.65,3.61
recovery,6.43,4.12,6.37
configuration,4.58,3.45,5.45
merchant,5.21,3.68,5.18
comprehensive,6.79,3.6,6.08
expert,6.74,4.05,6.91
universal,6.59,4.87,5.53
protect,6.83,3.7,5.83
drop,4.23,4.67,4.82
solid,5.65,2.36,6.15
presentation,4.9,4.65,4.62
orange,6.81,4.04,5.58
compliance,5.18,2.85,3.4
prevent,5.42,4.18,6.21
theme,5.43,3.08,5.9
rich,6.83,6.81,6.83
campaign,4.55,3.5,5.14
marine,5.95,3.44,5.14
improvement,6.53,4.95,6.6
guitar,7.1,4.4,5.89
spirit,7,5.03,6.38
challenge,5.95,5.25,4.68
acceptance,6.84,4.3,6.49
seem,5.45,3.24,4.53
touch,6.64,4.9,6.24
hire,7.09,5.65,6.42
election,4.5,4.23,5
suggest,5.55,3.75,5.84
branch,5.15,2.67,4.91
serve,5.36,3.7,6.47
magic,7.17,6.05,5.33
mount,5.38,4.09,5.63
smart,7.73,3.81,6.81
multimedia,6.53,4.8,5.9
avoid,4.1,3.92,4.81
certified,6.06,4.57,6.52
manage,4.71,3.52,5.88
corner,4.83,3.38,4.88
rank,5.26,3.67,5.57
computing,6.09,3.67,6.6
element,5.58,3.9,5
birth,6.52,5.75,5
virus,1.71,4.61,3.06
abuse,1.53,6.21,2.9
interactive,5.89,4.28,5.29
separate,3.95,3.91,4.14
quarter,5.61,3.85,6.04
procedure,4.28,4.15,4.24
leadership,6,4.76,6.84
define,5.57,3.95,5.31
religious,5.2,4.63,6.23
breakfast,7.39,5,6.83
column,5,3.11,5.24
faith,6.44,3.4,5.5
chain,4.79,4.05,4.2
developer,5.89,3.75,5.29
identify,6,4.16,6.14
avenue,5.74,3.3,5.18
domestic,5.05,2.8,6.12
reach,5.78,3.35,5.72
comparison,5.11,2.92,5.64
mental,4.58,3.68,5.48
moment,6.1,4.05,6
sequence,5.84,2.9,5.92
inch,5.4,3.29,4.46
attack,2,7.05,3.39
sorry,4.81,4.62,5.65
opening,5.95,4.6,6.68
damage,2.98,4.86,3.46
lab,4.57,4.35,6.68
reserve,6.14,4.16,5.56
gamma,6.25,4.8,4.86
plastic,4.48,3.36,5.24
produce,6.57,3.23,6.57
snow,6.78,4.57,5.62
truth,7.19,3.88,6.95
counter,5.22,2.47,5.16
failure,2.15,5,5.04
weekend,7.17,5.81,7.11
dollar,7.39,5.57,5.07
camp,7,4.14,5.89
bridge,5.44,3.48,4.78
native,5.85,3.05,6.05
fill,5.56,3.35,6.78
movement,6.58,4,5.96
printing,5.35,2.74,5.09
baseball,5.79,3.15,6.05
approval,6.75,3.52,6.63
draft,5.3,4.1,5.28
chart,5.35,3.1,6.11
equal,6.47,3.52,6.64
adventure,7.4,6.36,6.36
matching,6.3,3,5.79
profit,6.95,5.24,5.65
assistant,5.91,4.8,6.37
variable,5.29,3.65,5.21
advertisement,4.3,4.14,5.84
expect,5.95,4.86,4.89
parking,4.57,3.8,6.47
wholesale,6.33,3.48,5.08
workshop,6.35,3.57,6.08
extension,5,4.15,6.08
golden,7.79,4.25,5.67
lighting,6.52,4.92,6.18
senate,3.38,3.63,3.52
forces,5.58,4.33,5.48
funny,7.59,5.38,6.33
brother,6.18,4.48,5.46
portable,5.91,3.38,6.86
electrical,5.57,6,4.97
disc,5.6,3.56,5.58
pattern,5.53,3.14,5.39
boat,6.36,4.05,5.59
laser,5.64,5.09,5.52
sponsor,5.3,4.05,6.74
classical,6.79,3.75,6.25
icon,6.05,3.04,5.65
warranty,5.5,2.86,5.7
direction,5.45,3.33,6.18
basketball,5.67,4.35,5.05
delete,4,3.71,5.39
evening,7.09,3.1,5.22
assembly,5.47,3.95,4.82
nuclear,4.3,7.3,4.12
mouse,4.8,3.38,4.29
signal,5.27,4.05,7.05
criminal,2.11,4.49,4.09
brain,6.22,3.35,6.28
sexual,6.64,6.95,7
powerful,6.46,5.41,6.95
dream,7.43,4.37,5.4
FALSE,3.27,5.23,4.7
cast,5.26,3.55,5.05
flower,7.3,3.67,6.43
personnel,5.37,3.67,5.45
soul,6.61,4.3,6.56
aids,3.52,3.75,4.88
AIDS,1.33,5,3.55
promote,6.55,4.7,6.08
carry,5.67,3.47,4.94
flag,6.1,3.74,5.56
advantage,6.71,3.95,7.19
maintain,6.29,2.75,5.89
tourism,5.35,4.06,5.65
priority,6.17,4.85,5.92
savings,7.67,2.86,6.85
graphic,5.1,4.7,5.08
atom,5.74,4.29,5.39
binding,4.15,4.21,4.27
brief,6,3.42,5.39
eight,5.37,3.48,5.26
anonymous,5.75,4.13,5.48
iron,5.03,3.24,5.51
script,5.42,3.65,4.67
miscellaneous,5.38,4,5.11
void,4.65,3.95,4.19
dining,6.77,4.7,6.63
alert,5.38,5.14,6.58
integration,5.29,4.38,5.88
tag,4.79,3.29,5.88
interview,4.68,6.35,6.84
mix,5.71,2.86,5.56
framework,5.74,3.11,5.77
disk,5.24,2.95,5.22
queen,6.52,5.05,6.04
fix,6.11,3.6,6.72
handle,5.73,3.48,6
sweet,7.77,4.14,6.12
desk,5.56,2.45,5.72
vice,3.81,3.96,4.78
associate,5.2,3.11,4.88
truck,5.16,3.76,5.43
behavior,5.28,4.27,5.88
enlarge,5.33,3.87,5.89
revenue,7,4.78,5.68
measure,5.14,4.36,5.41
duty,5.33,3.71,4
bear,5.33,4.5,3.59
gain,5.9,4.33,6.82
festival,6.84,5.86,5.6
laboratory,5.14,4.38,4.77
ocean,7.39,3.5,5.88
lack,3.68,2.24,5.46
depth,5.8,4.35,5.24
laptop,6.95,4.62,6.5
vintage,6.67,4.35,5.32
train,6.36,4.05,5.72
dry,4.86,3.8,6.21
explore,7,4.05,6.52
spa,7.38,3.75,6.35
concept,4.89,2.9,5.37
eligible,6.45,4.81,6
checkout,5.6,4.14,6
reality,5.73,4.1,7.26
origin,5.19,3.7,5.29
gaming,5.67,5.23,6.29
billion,6.8,5.44,6.5
destination,6.4,4.57,6.52
intelligence,7.65,6.32,6.72
con,3.21,4.52,3.95
route,5.86,3.83,5.23
broken,2.75,4.86,3.76
zoom,5.86,5.68,5.9
blow,6.1,4.48,5
battle,3.52,6.25,5.63
residential,6.05,3.27,5.82
speak,5.91,4.19,5.89
protocol,5.1,3.83,4.05
query,5.24,3.76,5.68
clip,5.36,2.9,5.37
partnership,6.5,3.73,6.33
editorial,5.18,2.9,5.77
expression,6.15,4.33,6.88
equity,5.41,3.91,5.65
speech,5.62,4.1,6.68
wire,4.86,4.2,6.16
principles,5.45,3.39,6.63
rural,5.95,3.15,5.57
replacement,5.45,4.24,4.84
tape,5.5,3.4,5.11
strategic,6.57,4.32,6.29
judge,3.89,4.5,3.78
spam,3.1,3.83,3.95
economics,5.2,3.7,4.05
acid,3.26,4.77,4.26
cent,5.37,3.76,5.3
compatible,6.29,4.04,6.29
fight,3.54,6.33,4.68
apartment,5.72,3.8,5.33
height,5.83,3.85,4.56
null,4.32,3.05,4.48
speaker,5.32,4.35,5.47
obtain,5.11,3.67,6.7
recreation,6.7,4.33,7.18
designer,5.57,5,5.44
remain,5.68,3.2,6.58
marriage,7.56,4.95,5.33
roll,5.72,3.9,5.11
secret,5.33,4.14,5.41
bath,7,3.25,6.64
negative,2.52,5.05,4.29
theater,6.14,3.73,5.54
perform,6.48,5.15,5.82
healthy,7.76,4.19,7
translation,5.65,4.48,6
font,5.09,3.38,6.45
injury,2.32,5.56,3.6
ministry,5.08,3.85,4.5
lawyer,3.94,3.95,3.56
protected,7.05,3.81,6.04
proposal,5.45,4.73,6.63
portal,5.37,3.59,5.23
birthday,6.37,4.6,6.07
beta,5.55,3.6,4.41
fail,2.33,5.5,4.74
banking,5.47,4.24,4.74
assist,5.95,3.76,6.41
conduct,5.21,3.64,6.12
lingerie,6.89,5.18,5.87
legislation,3.55,4.09,3.85
jazz,6.57,6.05,6.42
comics,6.95,4.41,5.3
doc,4.67,3.14,4.28
postal,5.21,3.41,4.83
wear,6.36,3.33,5.72
ultimate,5.74,5.1,5.75
representative,5.26,3.73,6.05
Representative,4.32,4.23,4.68
frequency,5.19,4.87,5.62
minor,4.81,3.26,4.79
finish,6.41,3.81,6.44
mom,7.64,4.62,6.29
physics,5.53,4.27,5.16
rare,6.05,5.1,5.08
extreme,5.65,6.18,5.88
row,5.48,3.39,6.06
forecast,4.89,3.7,4.73
administrator,5.32,4.74,5.48
cycle,5.64,4.42,5.81
contain,5,3,5.68
accuracy,6.32,3.33,6.74
dual,5.14,4.39,5.21
rise,5.73,5.3,7.16
sleep,7.22,3.6,5.3
bird,6.75,3.83,5.88
pharmacy,5.05,3.68,6.05
creation,6.85,5.35,6.38
static,4.41,3.33,4.45
scene,5.94,1.95,5.29
lady,6.91,4.05,5.87
crystal,6.75,4.1,6.72
famous,5.89,4.2,5.4
writer,6.74,4.74,6
chairman,5.57,3.55,5.57
violence,2.71,5.95,3.24
drink,6.67,5.19,5.87
academy,5.32,3.77,5.38
dynamic,6.1,5.43,5.52
gender,5.05,4.05,5.42
eat,7.1,4.38,7.26
permanent,5.06,3.82,4.32
agriculture,6.1,3.05,6
portfolio,5.95,3.36,5.32
practical,5.63,3.5,6.04
infrastructure,5.14,4.16,5.33
exclusive,4.5,5,5.58
seat,5.22,3,6.05
vendor,5.29,3.82,5.5
philosophy,5.48,2.9,6.6
regulation,4.15,3.45,4.24
reduction,5,3,5.25
aim,5.95,4,6.5
nutrition,6.86,4.48,6.46
recording,5.22,3.53,5.59
junior,5.36,4.15,6.26
toll,3.53,3.95,3.59
meaning,6.45,4.05,6.53
tip,6.77,4.05,5.84
secondary,4.77,3.85,4.96
wonderful,7.41,4.57,7.19
ticket,5.28,3.95,5
guess,5.18,3.86,4.89
prevention,5.74,3.14,5.16
ski,5.91,6.05,4.86
soccer,5.84,4.68,5.77
math,4.45,4.96,5.79
import,5.28,3.95,5.58
presence,5.75,3.6,5.59
instant,5.84,4.33,6.22
automatic,6.05,3.7,5.27
healthcare,4.76,4.56,4
viewing,5.58,3.4,5.74
majority,4.95,4.3,4.76
moon,7,3.43,6.11
participation,6.15,3.55,6.3
scheme,3.8,5.57,4.71
utility,4.82,4.22,5.3
preview,5.74,3.7,5.48
fly,6.06,4.9,5.28
manner,5.86,3.52,5.45
matrix,5.9,4.4,4.58
combination,5.47,3.5,5.96
amendment,5.6,3.5,4.77
strength,6.73,5.3,7.42
turkey,5.9,3.45,5.59
proper,5.68,2.85,7.15
delta,5.3,3.32,6.15
fear,2.93,6.14,3.32
convention,5,3.67,4.65
principal,5.3,4.3,5.26
daughter,6.73,5,5.06
comfort,7.24,2.76,7.18
alpha,5.5,3.67,6.32
appeal,6.3,3.57,5.36
cruise,6.47,4.32,5.68
bonus,8.05,6.9,6.19
bookmark,6.26,3,6.47
beat,4.38,5.52,5.59
household,6.67,3.96,7
adobe,5.25,3.89,5.55
tea,6.56,2.05,6
achieve,7.75,4.7,6.61
dress,6.42,4.73,6.64
subscription,5.29,3.05,5.86
dealer,4.18,5.42,5
contemporary,5.95,3.81,5.43
sky,7.32,2.74,5.61
happen,5.5,3.43,5.53
exposure,4.81,5.45,5.08
hide,4.9,3.52,4.85
signature,5.57,3.3,6.88
gambling,2.89,5.91,4.11
refer,5.18,4.09,5.58
provision,5.74,4.19,6.14
outdoors,6.91,3.94,6.2
clothes,6.77,3.14,5.47
luxury,7.25,4.71,5.86
newspaper,5.11,2.67,5.05
toy,7.29,4.29,5.61
circuit,4.82,4.35,5.56
layer,5.2,3.45,6.04
slow,4,2.89,5.39
removal,4.26,3.86,4.91
liability,3.45,4.58,4.24
trademark,5,3.72,5.74
hip,5.86,3.8,5.36
nine,5.1,3.83,5.21
spot,5.12,2.95,4.83
spend,5.91,4.48,5.88
factory,4.95,3,5.09
interior,5.79,3.86,5.54
grow,6.28,2.6,5.5
optical,5.15,3.44,5.12
promotion,7.1,5.21,6
relative,5.9,3.86,4.81
amazing,7.72,6.05,6.83
clock,5.65,3.35,5.24
dot,4.84,3.09,5.17
HIV,1.53,5.1,2.9
identity,5.84,4.4,6.31
conversion,5.59,4.79,5.29
feeling,6.5,3.86,6.5
reasonable,6.84,3,5.88
serial,3.45,4.33,5.86
relief,6.63,4.42,5.64
revision,4.62,4.19,6.23
influence,5.53,4.3,5.96
ratio,4.68,3.11,4.79
importance,6.39,4.15,5.8
rain,6.58,3.29,4.25
planet,6.27,4.35,6.11
recipe,6.85,4.45,7.05
permit,5.26,3.76,4.68
proof,6.38,4.15,7.05
tennis,5.4,3.89,5.68
bass,5.23,4.87,5.89
prescription,4.55,3.14,5
bedroom,7,4.9,6.84
empty,3.78,2.25,3.61
hole,5.28,2.95,3.72
ride,6.27,5.1,5.28
bureau,4.7,3.74,5.19
represent,5.43,3.86,6.12
conservation,5.2,3.17,5.79
pair,5.95,3.35,6.68
ideal,6.63,3.78,6.33
specs,5.16,2.95,5.61
dinner,6.4,3.85,6.05
stress,1.79,4.72,3.85
cream,6.56,3.8,6.11
discover,7.18,5.7,6.79
advisor,4.74,3.19,5.7
marketplace,6.25,4.32,5.81
evil,2.34,5.67,3.6
aware,6.86,4.7,7.05
shape,5.41,3.6,5.84
evolution,5.35,6.3,4.77
op,5.21,3.24,5.26
concerned,4.61,3.95,4.61
euro,5.35,3.57,5
operator,4.85,2.67,4.74
generic,4.5,2.5,4.68
encyclopedia,6.14,5,6.48
usage,5.1,2.5,6.04
cap,5,3.27,5.57
ink,5.65,3.73,6.32
census,4.91,3.54,4.91
peak,6.1,3.9,6.48
competitive,5.45,5.7,5.5
exist,5.9,4,6.05
wheel,5.9,4,6.16
transit,4.52,4.05,5.72
salt,6.05,4.53,6.04
compact,4.95,3.75,5
poetry,6.15,3.59,5.83
angel,7.71,4.24,5.9
bell,5.67,4.7,6.16
preparation,5.62,3.77,6.57
attempt,6,4.94,5.67
width,5.43,3.73,5.35
noise,3.36,5.75,5.47
forget,3.73,4.43,3.5
array,5.9,3.71,5.62
accurate,7.42,4.35,6.47
climate,5.8,3.95,4
pin,5.29,3.73,5.76
alcohol,4.11,5.17,4
instruction,5.22,2.62,5.65
sister,7,3.86,5.59
raw,4.37,5.14,4.79
explain,5.41,4,6.22
establish,5.58,3.72,6.29
extent,5.57,3.68,5
sharp,5.24,6,4.92
lane,5.29,3.95,6.95
paragraph,5.4,3.26,5.1
kill,1.81,6.81,3.61
mathematics,4.89,4.33,5.3
compensation,6.55,4.73,6.63
export,4.79,3.45,5.54
aircraft,6.3,4.86,5.71
conflict,3.05,5.41,4.11
employer,5.3,4.06,3.3
occur,6.26,3.57,4.46
percentage,4.81,2.96,6.22
describe,5.9,2.95,5.55
concern,5.05,4.7,5.55
backup,5.85,3.45,5.85
heritage,6.86,3.77,4.35
immediate,5.85,4.64,5.84
trouble,2.87,5.59,4.35
spread,5.57,4.15,6.37
coach,5.72,3.35,4.11
agricultural,5.5,3.55,5.74
expand,5.35,3.3,5.43
audience,5.89,4.91,5.14
participate,5.5,4.44,6.42
plug,4.42,3.35,5.67
specialist,5.52,4.27,6.1
cook,7.12,4.33,6.25
affect,5.65,3.61,6.39
virgin,5.56,4.58,5.87
investigation,4.36,5.7,6.11
hat,5.69,2.88,6.21
institution,4,4.09,4.74
sporting,6.24,4.4,5.74
bike,6.1,3.62,5.89
plate,4.8,3.18,5.79
indicate,5.05,3.32,5.75
blonde,6,5.75,5.56
transmission,4.62,3.38,4.7
lose,3.59,5.43,4.39
organic,5.55,4.29,6.17
seek,6.25,3.9,6.16
equivalent,5.89,3.95,5.57
chemistry,5.74,4.59,5.12
neighborhood,6.09,4.05,6.95
agenda,5.05,3.62,5.36
advisory,4.95,4.05,4.19
curriculum,5.3,3.56,4.08
logic,6.58,3.67,6.7
template,5.45,3.46,4.86
prince,5.44,5.15,4.39
circle,5.76,3.33,5.38
soil,5.21,2.76,5.18
psychology,4.81,3.41,4.38
wet,5.64,5,6.11
investor,5.42,3.39,5.76
identification,5.76,4.45,5.94
ram,4.37,4.5,5.27
wildlife,7.75,5.67,5.88
elementary,6.11,3.5,4.91
cooking,6.77,4.19,7.27
fox,5.52,4.36,5.5
unlimited,6.16,4.52,6.61
respond,5.71,3.09,6
plain,5.08,2.68,5.56
exit,5.35,3.18,7
arm,5.44,3.44,6.02
launch,6.4,5.26,6.75
wave,6.32,4.19,5.48
holy,6.06,3.37,4.78
guidance,5.95,3.06,6.1
mesh,5.25,3.11,5.18
trail,6.15,4,5.42
enforcement,4.67,4.48,4
symbol,5.67,2.77,4.96
highway,5.19,4.28,5.14
buddy,7.41,4.57,6.24
setup,4.35,4.65,4.72
poll,4.63,4.14,5.4
fiscal,4.15,4.05,5.23
celebrity,5.42,4.86,4.67
appendix,4.81,2.92,4.25
notify,4.9,3.13,5.67
blues,3.43,3.61,5.44
chocolate,7.63,5.14,5.88
pub,5.45,4.36,5.68
portion,5.16,3.91,5.05
scope,5.17,3.48,4.83
supplier,4.84,3.45,5.04
cotton,6.05,2.48,6.24
requirement,5.1,3.27,4.3
biology,6,4.1,4.45
dental,4.73,4.79,3.62
border,4.68,4.3,4.74
ancient,7.24,3.48,4.86
debate,4.95,4.86,5.96
pregnancy,4.79,5,4.56
biography,5.4,3,5.95
leisure,7.4,4.48,6.68
notebook,6.05,3.58,6.12
explorer,5.9,5.24,6.43
historic,6.2,4.12,4.82
husband,7.41,4.38,5.72
disabled,2.7,3.71,4.52
crazy,5.14,5.9,4.19
upcoming,6.63,4.5,5.25
concert,7,5.17,5.4
retirement,6.6,4.09,5.62
efficiency,6.74,3.74,6.79
comedy,8.05,6,5.55
efficient,6.95,3.86,6.67
linear,5.05,3.2,6
commitment,6.33,4.26,6
specialty,5.48,3.7,6.05
jean,6.05,2.41,5.19
hop,5.89,3.71,5.04
carrier,5.19,2.96,5.1
constant,5.9,2.81,6.36
visa,5.74,4.33,5.45
mouth,5.59,4.14,6
meter,5.53,3.25,5.25
gun,3.66,7.74,4.71
reflect,6.1,3.35,6.72
pure,6.8,4.05,6.44
deliver,6,4.75,6.74
wonder,6.68,4.38,6.44
fruit,7,4.09,6.12
reform,5.05,4.78,5.57
lens,5.42,2.95,5.04
discovery,6.81,6.04,6.25
draw,6.18,3.6,6.37
classified,5.53,4.61,4.68
assume,4.41,4.2,6.21
confidence,6.71,4.04,6.5
alliance,6.14,4.4,5.78
confirm,5.76,3.38,6.56
warm,7.5,3.35,6.33
engineer,5.79,4.22,6.53
lifestyle,5.95,5.52,6.4
consistent,6.43,3.19,6.77
replace,5.56,3.41,5.61
clearance,6.62,4.5,5.5
inventory,4.95,3.58,5.48
babe,6.86,4.25,6.79
safari,6.15,5.67,5.65
objective,5.55,4.38,6.47
sugar,6.56,5.29,6.32
crew,5.83,3.38,5
stick,5.27,3.81,5.82
relation,5.84,4.36,5.75
genre,6,3.59,5
slide,5.71,3.3,5.5
volunteer,7.35,3.95,6.68
rear,4.68,3.86,5.61
democratic,5.7,4.33,6.62
enhance,6.62,4.04,6.58
exact,5.58,3.95,5.7
bound,4.05,5.55,4.85
processor,5.26,3.5,5.09
node,4.84,3.5,5.62
formal,5.37,4.48,5.61
contribute,6.15,3.58,6.96
lock,4.56,3,4.11
hockey,5.32,4.06,5.04
storm,5.74,5.86,3.72
micro,5.5,3.48,4.36
mile,4.78,3.43,5.33
bowl,5.67,3.21,5.58
supreme,6.14,4.28,6.11
recognition,6.68,4.45,7
ref,5.35,3.38,4.55
tank,4.71,4.32,4.92
submission,4.6,4.29,4.97
estimate,5.95,3.41,5.43
encourage,7.16,4.38,6.2
navy,5.38,3.64,5.07
kid,7.23,4.71,4.83
inspection,4.32,4.05,4.48
cancel,3.61,4.29,5.83
territory,5.3,4.32,6.23
transaction,5.26,3.73,5.58
paint,5.74,4.5,6.56
delay,3.45,3,3.68
pilot,6,5.6,6.16
outlet,5.45,3.5,6.31
continuous,5.33,3.27,5.77
initiative,6.68,4.09,6.67
novel,5.74,3.41,5.09
pan,5.15,3.05,6
execution,2.28,6,3.27
disability,2.95,3.9,4.7
winner,7.86,6.53,7.42
contractor,4.7,4.26,5.48
episode,5,3.67,5.4
examination,5.05,4.5,5.05
dish,5.7,3.57,5.5
bulletin,5.6,2.95,5.4
modify,5.1,3.78,6.43
painting,6.9,3.25,7.32
extensive,5.25,4.75,5.71
